"","OR","po.","p1.","p.o","p.1","f00","f01","f10","f11","true r","r","true D'","D'","true Q","Q","true Y","Y","true HS","HS"
"82",99.9999999999997,0.6,0.4,0.4,0.6,0.392570416912525,0.207429583087475,0.00742958308747521,0.392570416912525,0.635710070468853,95.5,0.95356510570328,87.4,0.98019801980198,90.4,0.818181818181818,94.9,0.892882825269167,62.4
"83",100.000000000001,0.6,0.4,0.6,0.4,0.555555555555556,0.0444444444444442,0.0444444444444442,0.355555555555556,0.814814814814816,94.6,0.814814814814816,93.6,0.98019801980198,92.6,0.818181818181819,94.1,0.791168310742634,72.1
"84",99.9999999999998,0.1,0.9,0.2,0.8,0.0930937546967584,0.00690624530324165,0.106906245303242,0.793093754696758,0.609114622472986,95.6,0.913671933709479,91.7,0.98019801980198,91.8,0.818181818181818,94.9,0.281243358748671,2.8
"85",1,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0,94.7,0,94.9,0,94.4,0,94.7,0,95.5
"86",1,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0,94.7,0,94.9,0,94.4,0,94.7,0,95.5
"87",1,0.587333879727506,0.412666120272494,0.5,0.5,0.293666939863753,0.293666939863753,0.206333060136247,0.206333060136247,2.25511293307845e-16,95,2.69036630361622e-16,95.1,4.58064211256537e-16,94.9,0,95,0,98.4
"88",1,0.6,0.4,0.4,0.6,0.24,0.36,0.16,0.24,0,95.6,0,95.7,0,95.2,-5.78241158658936e-17,95.5,-3.10179424794511e-21,100
"89",1,0.6,0.4,0.6,0.4,0.36,0.24,0.24,0.16,0,93.9,0,94,0,93.8,5.78241158658936e-17,94,0,100
"90",1,0.1,0.9,0.2,0.8,0.02,0.08,0.18,0.72,-2.89120579329468e-17,95.3,-1.73472347597681e-16,95.4,-1.20466908053945e-16,94.6,-5.78241158658936e-17,95,0,100
"91",2,0.571428571428571,0.428571428571429,0.428571428571429,0.571428571428571,0.285714285714286,0.285714285714286,0.142857142857143,0.285714285714286,0.166666666666667,94.4,0.222222222222222,95,0.333333333333333,94.3,0.17157287525381,94.8,0.138734684854279,77.1
